GPU,MAE
GeForce GTX 1050,21.12
GeForce GTX 1050 Ti,6.37
GeForce GTX 1060,59.46
GeForce GTX 1650,9.42
GeForce GTX 1660 SUPER,37.4
GeForce GTX 1660 Ti,24.57
GeForce RTX 2060,111.18
GeForce RTX 2080 Ti,178.04
GeForce RTX 3050,11.94
GeForce RTX 3060,9.86
GeForce RTX 3060 Ti,82.32
GeForce RTX 3070,65.66
GeForce RTX 3070 Ti,203.34
GeForce RTX 3080,224.83
GeForce RTX 3080 Ti,222.96
GeForce RTX 3090,232.22
GeForce RTX 4060,3.89
GeForce RTX 4060 Ti,10.07
GeForce RTX 4070,13.62
GeForce RTX 4070 SUPER,217.07
GeForce RTX 4070 Ti,50.01
GeForce RTX 4070 Ti SUPER,411.94
GeForce RTX 4080 SUPER,2277.83
GeForce RTX 4090,157.07
Radeon R7 360,0.0
Radeon R9 370,31.67
Radeon R9 380,90.08
Radeon RX 460,44.99
Radeon RX 550,8.81
Radeon RX 560,20.59
Radeon RX 580,11.33
Radeon RX 6400,11.14
Radeon RX 6500 XT,26.65
Radeon RX 6600,9.2
Radeon RX 6600 XT,47.83
Radeon RX 6650 XT,7.86
Radeon RX 6700 XT,142.06
Radeon RX 6750 XT,18.05
Radeon RX 6800,15.92
Radeon RX 6800 XT,130.41
Radeon RX 6900 XT,216.43
Radeon RX 7600,10.53
Radeon RX 7600 XT,1524.67
Radeon RX 7700 XT,25.55
Radeon RX 7800 XT,13.17
Radeon RX 7900 GRE,714.5
Radeon RX 7900 XT,16.68
Radeon RX 7900 XTX,37.0
